differing_column,row1_index,row2_index
Formula SAM 3,36963,38936
Formula SAM 3,37361,38936
Formula SAM 3,37421,38936
Formula SAM 3,37601,38936
Formula SAM 3,36963,37721
Formula SAM 3,36963,38565
Formula SAM 3,36963,39422
Formula SAM 3,36963,42014
Formula SAM 3,36963,37120
Formula SAM 3,36963,37541
Formula SAM 3,36963,38855
Formula SAM 3,36963,39098
Formula SAM 3,36963,39908
Formula SAM 3,36963,39746
Formula SAM 3,37361,37721
Formula SAM 3,37361,38565
Formula SAM 3,37361,39422
Formula SAM 3,37361,42014
Formula SAM 3,37120,37361
Formula SAM 3,37361,37541
Formula SAM 3,37361,38855
Formula SAM 3,37361,39098
Formula SAM 3,37361,39908
Formula SAM 3,37361,39746
Formula SAM 3,37421,37721
Formula SAM 3,37421,38565
Formula SAM 3,37421,39422
Formula SAM 3,37421,42014
Formula SAM 3,37120,37421
Formula SAM 3,37421,37541
Formula SAM 3,37421,38855
Formula SAM 3,37421,39098
Formula SAM 3,37421,39908
Formula SAM 3,37421,39746
Formula SAM 3,37601,37721
Formula SAM 3,37601,38565
Formula SAM 3,37601,39422
Formula SAM 3,37601,42014
Formula SAM 3,37120,37601
Formula SAM 3,37541,37601
Formula SAM 3,37601,38855
Formula SAM 3,37601,39098
Formula SAM 3,37601,39908
Formula SAM 3,37601,39746
Formula SAM 3,36963,37781
Formula SAM 3,36963,37840
Formula SAM 3,36963,38308
Formula SAM 3,36963,37481
Formula SAM 3,37361,37781
Formula SAM 3,37361,37840
Formula SAM 3,37361,38308
Formula SAM 3,37361,37481
Formula SAM 3,37421,37781
Formula SAM 3,37421,37840
Formula SAM 3,37421,38308
Formula SAM 3,37421,37481
Formula SAM 3,37601,37781
Formula SAM 3,37601,37840
Formula SAM 3,37601,38308
Formula SAM 3,37481,37601
Formula SAM 3,36882,36963
Formula SAM 3,36882,37361
Formula SAM 3,36882,37421
Formula SAM 3,36882,37601
Formula SAM 3,36963,37045
Formula SAM 3,37045,37361
Formula SAM 3,37045,37421
Formula SAM 3,37045,37601
Formula SAM 3,38188,38248
Formula SAM 3,38248,39179
Formula SAM 3,38248,39503
Formula SAM 3,38248,40232
Formula SAM 3,38248,41042
Formula SAM 3,38248,41285
Formula SAM 3,38248,41771
Formula SAM 3,38248,42095
Formula SAM 3,38248,39665
Formula SAM 3,38248,40313
Formula SAM 3,38248,40718
Formula SAM 3,38248,41366
Formula SAM 3,38248,39683
Formula SAM 3,38248,40961
Formula SAM 3,38188,38936
Formula SAM 3,38936,39179
Formula SAM 3,38936,39503
Formula SAM 3,38936,40232
Formula SAM 3,38936,41042
Formula SAM 3,38936,41285
Formula SAM 3,38936,41771
Formula SAM 3,38936,42095
Formula SAM 3,38936,39665
Formula SAM 3,38936,40313
Formula SAM 3,38936,40718
Formula SAM 3,38936,41366
Formula SAM 3,38936,39683
Formula SAM 3,38936,40961
Formula SAM 3,37721,38188
Formula SAM 3,38188,38565
Formula SAM 3,38188,39422
Formula SAM 3,38188,42014
Formula SAM 3,37120,38188
Formula SAM 3,37541,38188
Formula SAM 3,38188,38855
Formula SAM 3,38188,39098
Formula SAM 3,38188,39908
Formula SAM 3,38188,39746
Formula SAM 3,37721,39179
Formula SAM 3,38565,39179
Formula SAM 3,39179,39422
Formula SAM 3,39179,42014
Formula SAM 3,37120,39179
Formula SAM 3,37541,39179
Formula SAM 3,38855,39179
Formula SAM 3,39098,39179
Formula SAM 3,39179,39908
Formula SAM 3,39179,39746
Formula SAM 3,37721,39503
Formula SAM 3,38565,39503
Formula SAM 3,39422,39503
Formula SAM 3,39503,42014
Formula SAM 3,37120,39503
Formula SAM 3,37541,39503
Formula SAM 3,38855,39503
Formula SAM 3,39098,39503
Formula SAM 3,39503,39908
Formula SAM 3,39503,39746
Formula SAM 3,37721,40232
Formula SAM 3,38565,40232
Formula SAM 3,39422,40232
Formula SAM 3,40232,42014
Formula SAM 3,37120,40232
Formula SAM 3,37541,40232
Formula SAM 3,38855,40232
Formula SAM 3,39098,40232
Formula SAM 3,39908,40232
Formula SAM 3,39746,40232
Formula SAM 3,37721,41042
Formula SAM 3,38565,41042
Formula SAM 3,39422,41042
Formula SAM 3,41042,42014
Formula SAM 3,37120,41042
Formula SAM 3,37541,41042
Formula SAM 3,38855,41042
Formula SAM 3,39098,41042
Formula SAM 3,39908,41042
Formula SAM 3,39746,41042
Formula SAM 3,37721,41285
Formula SAM 3,38565,41285
Formula SAM 3,39422,41285
Formula SAM 3,41285,42014
Formula SAM 3,37120,41285
Formula SAM 3,37541,41285
Formula SAM 3,38855,41285
Formula SAM 3,39098,41285
Formula SAM 3,39908,41285
Formula SAM 3,39746,41285
Formula SAM 3,37721,41771
Formula SAM 3,38565,41771
Formula SAM 3,39422,41771
Formula SAM 3,41771,42014
Formula SAM 3,37120,41771
Formula SAM 3,37541,41771
Formula SAM 3,38855,41771
Formula SAM 3,39098,41771
Formula SAM 3,39908,41771
Formula SAM 3,39746,41771
Formula SAM 3,37721,42095
Formula SAM 3,38565,42095
Formula SAM 3,39422,42095
Formula SAM 3,42014,42095
Formula SAM 3,37120,42095
Formula SAM 3,37541,42095
Formula SAM 3,38855,42095
Formula SAM 3,39098,42095
Formula SAM 3,39908,42095
Formula SAM 3,39746,42095
Formula SAM 3,37721,39665
Formula SAM 3,38565,39665
Formula SAM 3,39422,39665
Formula SAM 3,39665,42014
Formula SAM 3,37120,39665
Formula SAM 3,37541,39665
Formula SAM 3,38855,39665
Formula SAM 3,39098,39665
Formula SAM 3,39665,39908
Formula SAM 3,39665,39746
Formula SAM 3,37721,40313
Formula SAM 3,38565,40313
Formula SAM 3,39422,40313
Formula SAM 3,40313,42014
Formula SAM 3,37120,40313
Formula SAM 3,37541,40313
Formula SAM 3,38855,40313
Formula SAM 3,39098,40313
Formula SAM 3,39908,40313
Formula SAM 3,39746,40313
Formula SAM 3,37721,40718
Formula SAM 3,38565,40718
Formula SAM 3,39422,40718
Formula SAM 3,40718,42014
Formula SAM 3,37120,40718
Formula SAM 3,37541,40718
