differing_column,row1_index,row2_index,condition_case
Formula SAM 3,36882,37541,row1
Formula SAM 3,36882,38855,row1
Formula SAM 3,36882,39098,row1
Formula SAM 3,36882,39908,row1
Formula SAM 3,36882,39746,row1
Formula SAM 3,37045,38565,row2
Formula SAM 3,37045,39422,row2
Formula SAM 3,37045,42014,row2
Formula SAM 3,36882,37481,row1
Formula SAM 3,37045,37781,row2
Formula SAM 3,37045,37840,row2
Formula SAM 3,37045,38308,row2
Formula SAM 3,36882,37045,row1
Formula SAM 3,40475,42338,row2
